iso_code,Sector,USA,MEX,CAN
USA,Primary,849997486.423404,22513181.775690988,20814772.388799
USA,Secondary,1051052761.618025,38096678.68132973,53934068.545786604
USA,Tertiary,1143994429.264155,1088884.4180385522,5353842.904086
MEX,Primary,9078927.802060999,42555594.546062,391999.49543999997
MEX,Secondary,33574516.95518525,40038386.38007,2937147.12530326
MEX,Tertiary,3385976.3395210123,59364972.801269665,227622.11136830001
CAN,Primary,41478887.942936406,758002.3205623,72046960.38499999
CAN,Secondary,42788254.66852172,1329065.58579639,61973934.993
CAN,Tertiary,5080304.420956256,16230.760007038702,115135631.35
